 TASK                                                           | STATUS
------------------------------------------------------------------------------------------------------
 Testare tutti i suppliers/funzioni del backend sul runtime.    | DONE
 Adattare states e logiche runtime.                             | DONE
 Mappare tutti i suppliers/funzioni nella VM lua.               | DONE
 Text box e bone attachment.                                    | DONE
 Collisioni.                                                    | IN PROGRESS
 Demo tecnica minimale.                                         | DONE
 Batch esportazione scena da blender in Java/Python             | IN PROGRESS
 Implementare console LUA in tempo reale.                       | DONE
 Implementare funzioni di gestione camera e switch tra stati.   | DONE
 Demo tecnica.                                                  | DONE
 Implementare prime logiche di gioco e GUI rudimentali.         | DONE
 Demo minimale.                                                 | DONE
 Implementare LUA Debug.                                        | TODO
 Implementare cinematica.                                       | TODO
 Implementare sistema messaggi.                                 | TODO
 Implementare meccaniche di gioco.                              | TODO
 Demo.                                                          | TODO
 Sviluppo gameplay.                                             | TODO
